Wall time,Step,Value
1669658486.1085443,1,97.68646240234375
1669658573.2587874,2,64.19917297363281
1669658660.3067493,3,43.35857009887695
1669658747.0344028,4,33.78129196166992
1669658833.8241487,5,33.217620849609375
1669658920.8369007,6,35.241695404052734
1669659007.9021018,7,35.62949752807617
1669659094.6592648,8,48.871803283691406
1669659181.5319173,9,36.04867935180664
1669659268.018256,10,49.106834411621094
1669659355.077166,11,46.24174880981445
1669659441.337465,12,51.75738525390625
1669659528.0649676,13,40.69154357910156
1669659615.2751775,14,61.27560043334961
1669659702.1950204,15,191.40809631347656
1669659789.019197,16,86.56878662109375
1669659875.9565468,17,121.81790924072266
1669659963.0317664,18,233.40792846679688
1669660050.3567204,19,nan
1669660137.082135,20,nan
1669660224.1368165,21,nan
1669660311.1255498,22,nan
1669660399.3468208,23,nan
1669660486.221868,24,nan
1669660572.9174597,25,nan
1669660659.6182032,26,nan
1669660746.6589448,27,nan
1669660833.8127925,28,nan
1669660921.0533326,29,nan
